elapsed,label
1406,SC01_01
1474,SC01_02
745,SC01_03
4508,SC01_04
751,SC01_05
2971,SC01_06
340,SC01_07
259,SC01_08
575,SC02_01
6525,SC02_02
4477,SC02_03
1876,SC02_04
953,SC02_05
2296,SC02_06
4973,SC02_07
644,SC02_08
398,SC03_01
5365,SC03_02
985,SC03_03
739,SC03_04
1769,SC03_05
1277,SC03_06
13656,SC03_07
817,SC03_08
443,SC04_01
5681,SC04_02
1401,SC04_03
665,SC04_04
716,SC04_05
779,SC04_06
1862,SC04_07
759,SC04_08
858,SC05_01
1644,SC05_01
2114,SC05_01
2400,SC05_01
2333,SC05_01
3195,SC05_01
2941,SC05_01
3724,SC05_01
3484,SC05_01
2742,SC05_01
2838,SC05_01
3413,SC05_01
4079,SC05_01
4340,SC05_01
4210,SC05_01
5116,SC05_01
4602,SC05_01
5072,SC05_01
5753,SC05_01
5950,SC05_01
38744,SC05_02
36561,SC05_02
35813,SC05_02
37858,SC05_02
36866,SC05_02
37691,SC05_02
36085,SC05_02
36033,SC05_02
35070,SC05_02
35427,SC05_02
38487,SC05_02
36739,SC05_02
36652,SC05_02
37280,SC05_02
37722,SC05_02
39379,SC05_02
39443,SC05_02
40574,SC05_02
42164,SC05_02
43743,SC05_02
1975,SC05_03
1980,SC05_03
2854,SC05_03
4246,SC05_03
4511,SC05_03
4385,SC05_03
4906,SC05_03
5140,SC05_03
4891,SC05_03
5691,SC05_03
4779,SC05_03
5495,SC05_03
5495,SC05_03
5667,SC05_03
5972,SC05_03
5444,SC05_03
5053,SC05_03
4501,SC05_03
3942,SC05_03
3417,SC05_03
2911,SC05_04
3132,SC05_04
4612,SC05_04
12514,SC05_04
12286,SC05_04
15115,SC05_05
14879,SC05_05
18317,SC05_04
17224,SC05_04
16484,SC05_04
17514,SC05_04
19216,SC05_04
17444,SC05_04
6823,SC05_06
20912,SC05_04
18894,SC05_04
19578,SC05_04
9144,SC05_06
20786,SC05_04
6795,SC05_05
12978,SC05_05
23562,SC05_04
13923,SC05_05
1441,SC05_06
1566,SC05_06
23331,SC05_04
25809,SC05_05
24938,SC05_04
2406,SC05_06
1632,SC05_06
30684,SC05_04
33057,SC05_04
15120,SC05_05
11156,SC05_05
20359,SC05_05
16041,SC05_05
2568,SC05_06
962,SC05_06
15709,SC05_05
3123,SC05_06
20542,SC05_05
21588,SC05_05
16091,SC05_05
21556,SC05_05
18746,SC05_05
2145,SC05_06
1566,SC05_06
20891,SC05_05
1569,SC05_06
1864,SC05_06
1981,SC05_06
1620,SC05_06
15923,SC05_05
6041,SC05_06
1262,SC05_06
11632,SC05_05
917,SC05_06
914,SC05_06
10672,SC05_05
723,SC05_06
482,SC06_01
6082,SC06_02
4617,SC06_03
2477,SC06_04
756,SC06_05
1523,SC06_06
725,SC06_07
603,SC06_08
447,SC07_01
5146,SC07_02
4078,SC07_03
823,SC07_04
788,SC07_05
487,SC07_06
582,SC07_07
438,SC07_08
759,SC07_09
484,SC08_01
6060,SC08_02
3218,SC08_03
1098,SC08_04
1022,SC08_05
1080,SC08_06
1019,SC08_07
2156,SC08_08
7904,SC08_09
602,SC08_10
1539,SC09_01
2402,SC09_01
1701,SC09_01
2053,SC09_01
2563,SC09_01
2344,SC09_01
1940,SC09_01
2428,SC09_01
3096,SC09_01
2892,SC09_01
2916,SC09_01
2788,SC09_01
3165,SC09_01
3199,SC09_01
4048,SC09_01
3483,SC09_01
3870,SC09_01
3694,SC09_01
3893,SC09_01
4151,SC09_01
31150,SC09_02
32341,SC09_02
31162,SC09_02
37832,SC09_02
37180,SC09_02
38417,SC09_02
37054,SC09_02
37398,SC09_02
38056,SC09_02
39222,SC09_02
40095,SC09_02
40035,SC09_02
42853,SC09_02
43382,SC09_02
42223,SC09_02
42820,SC09_02
43813,SC09_02
45570,SC09_02
56217,SC09_02
57897,SC09_02
20064,SC09_03
24498,SC09_03
4464,SC09_04
29421,SC09_03
5471,SC09_04
31265,SC09_03
11702,SC09_04
31824,SC09_03
32240,SC09_03
28174,SC09_03
3669,SC09_04
32621,SC09_03
33921,SC09_03
2578,SC09_04
2419,SC09_04
30276,SC09_03
40913,SC09_03
36284,SC09_03
8159,SC09_04
36246,SC09_03
40342,SC09_03
9094,SC09_04
9582,SC09_04
23995,SC09_03
2109,SC09_04
3525,SC09_04
40485,SC09_03
24582,SC09_05
6314,SC09_04
38674,SC09_03
5078,SC09_04
5212,SC09_04
40410,SC09_03
29167,SC09_03
3262,SC09_04
8676,SC09_04
0,SC09_05
8325,SC09_05
0,SC09_05
0,SC09_05
8099,SC09_04
0,SC09_05
0,SC09_05
10473,SC09_05
17709,SC09_05
4208,SC09_04
5483,SC09_05
0,SC09_05
8961,SC09_05
48214,SC09_03
3,SC09_04
0,SC09_05
0,SC09_05
6353,SC09_04
18626,SC09_05
27819,SC09_05
17621,SC09_05
25873,SC09_05
5995,SC09_06
6185,SC09_05
3865,SC09_06
5157,SC09_06
4873,SC09_06
7987,SC09_06
4852,SC09_06
1743,SC09_07
587,SC09_08
1711,SC09_07
668,SC09_08
2175,SC09_07
1453,SC09_08
2673,SC09_07
3015,SC09_07
1158,SC09_08
868,SC09_08
3509,SC09_07
703,SC09_08
