timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount
1374486818614,1406,SC01_01_HomePage_SALTARE,200,"Number of samples in transaction : 5, number of failing samples : 0",SC01 -  Admin User Registers Teachers via Batch Upload 1-1,,true,,20430,1,1,0,1,0
1374486820580,1474,SC01_02_Login_Admin,200,"Number of samples in transaction : 6, number of failing samples : 0",SC01 -  Admin User Registers Teachers via Batch Upload 1-1,,true,,30601,1,1,0,1,0
1374486829694,745,SC01_03_Click_Batch_Registration,200,"Number of samples in transaction : 1, number of failing samples : 0",SC01 -  Admin User Registers Teachers via Batch Upload 1-1,,true,,4916,1,1,0,1,0
1374486830449,4508,SC01_04_Click_New_Batch,200,"Number of samples in transaction : 3, number of failing samples : 0",SC01 -  Admin User Registers Teachers via Batch Upload 1-1,,true,,3414,1,1,0,1,0
1374486842617,751,SC01_05_Browse_Submit,200,"Number of samples in transaction : 1, number of failing samples : 0",SC01 -  Admin User Registers Teachers via Batch Upload 1-1,,true,,13914,1,1,0,1,0
1374486843385,2971,SC01_06_Search_Institution_Submit,200,"Number of samples in transaction : 3, number of failing samples : 0",SC01 -  Admin User Registers Teachers via Batch Upload 1-1,,true,,11595,1,1,0,1,0
1374486859292,340,SC01_07_View_Teachr_BatchLoad_Status,200,"Number of samples in transaction : 1, number of failing samples : 0",SC01 -  Admin User Registers Teachers via Batch Upload 1-1,,true,,7549,1,1,0,1,0
1374486865796,259,SC01_08_Logout,200,"Number of samples in transaction : 4, number of failing samples : 0",SC01 -  Admin User Registers Teachers via Batch Upload 1-1,,true,,18707,1,1,0,1,0
1374486866247,575,SC02_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,10841,1,1,0,1,0
1374486866860,6525,SC02_02_nMEL_Login,200,"Number of samples in transaction : 5, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,59443,1,1,0,1,0
1374486873442,4477,SC02_03_Complete_Profile,200,"Number of samples in transaction : 5, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,22644,1,1,0,1,0
1374486913093,1876,SC02_04_Click_Settings,200,"Number of samples in transaction : 4, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,8539,1,1,0,1,0
1374486915000,953,SC02_05_Click_CreateNewCourse,200,"Number of samples in transaction : 3, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,14910,1,1,0,1,0
1374486923533,2296,SC02_06_AddCourseNameEndDate_ClickCreateCourse,200,"Number of samples in transaction : 2, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,15210,1,1,0,1,0
1374486925845,4973,SC02_07_Click_Print,200,"Number of samples in transaction : 2, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,35279,1,1,0,1,0
1374486940759,644,SC02_08_nMEL_Logout,200,"Number of samples in transaction : 5, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,8562,1,1,0,1,0
1374486941438,398,SC03_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,12025,1,1,0,1,0
1374486941859,5365,SC03_02_nMEL_Login,200,"Number of samples in transaction : 5, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,66886,1,1,0,1,0
1374486947281,985,SC03_03_Click_Settings,200,"Number of samples in transaction : 3, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,9020,1,1,0,1,0
1374486948282,739,SC03_04_Click_Edit,200,"Number of samples in transaction : 2, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,7370,1,1,0,1,0
1374486949033,1769,SC03_05_Click_RegisterNewStudents,200,"Number of samples in transaction : 4, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,13496,1,1,0,1,0
1374486950820,1277,SC03_06_BrowseBatchFile_Upload,200,"Number of samples in transaction : 1, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,4441,1,1,0,1,0
1374486952106,13656,SC03_07_SubmitBatch_WaitForSuccess,200,"Number of samples in transaction : 19, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,87016,1,1,0,1,0
1374487011024,817,SC03_08_nMEL_Logout,200,"Number of samples in transaction : 5, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,8560,1,1,0,1,0
1374487011875,443,SC04_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,12550,1,1,0,1,0
1374487012333,5681,SC04_02_nMEL_Login,200,"Number of samples in transaction : 5, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,70286,1,1,0,1,0
1374487037965,1401,SC04_03_Click_Course_TAB,200,"Number of samples in transaction : 3, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,4474,1,1,0,1,0
1374487039381,665,SC04_04_Click_Course_IELTS_1,200,"Number of samples in transaction : 2, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,4399,1,1,0,1,0
1374487041608,716,SC04_05_Click_Unit_Speaking,200,"Number of samples in transaction : 1, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,2438,1,1,0,1,0
1374487049791,779,SC04_06_Click_Assign_EX1,200,"Number of samples in transaction : 2, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,18884,1,1,0,1,0
1374487058248,1862,SC04_07_SelectAllStudents_Assign_EX1,200,"Number of samples in transaction : 4, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,31103,1,1,0,1,0
1374487063529,759,SC04_08_nMEL_Logout,200,"Number of samples in transaction : 5, number of failing samples : 0","SC02, SC03 & SC04 - Teacher Creates Course, Batch Upload Students and Assigns Activity to All Students 2-1",,true,,8566,1,1,0,1,0
1374487194304,482,SC06_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0",SC06 & SC07 - Teacher Dills Down to Students Grade Book and Diagnostics 4-1,,true,,10841,1,1,0,1,0
1374487194817,6082,SC06_02_nMEL_Login,200,"Number of samples in transaction : 5, number of failing samples : 0",SC06 & SC07 - Teacher Dills Down to Students Grade Book and Diagnostics 4-1,,true,,64002,1,1,0,1,0
1374487200939,4617,SC06_03_Click_GradeBook,200,"Number of samples in transaction : 4, number of failing samples : 0",SC06 & SC07 - Teacher Dills Down to Students Grade Book and Diagnostics 4-1,,true,,32422,1,1,0,1,0
1374487225402,2477,SC06_04_Click_Student_Name,200,"Number of samples in transaction : 3, number of failing samples : 0",SC06 & SC07 - Teacher Dills Down to Students Grade Book and Diagnostics 4-1,,true,,26684,1,1,0,1,0
1374487227895,756,SC06_05_Expand_Speaking,200,"Number of samples in transaction : 1, number of failing samples : 0",SC06 & SC07 - Teacher Dills Down to Students Grade Book and Diagnostics 4-1,,true,,1719,1,1,0,1,0
1374487228656,1523,SC06_06_Expand_Foundation_Class,200,"Number of samples in transaction : 1, number of failing samples : 0",SC06 & SC07 - Teacher Dills Down to Students Grade Book and Diagnostics 4-1,,true,,1577,1,1,0,1,0
1374487230183,725,SC06_07_Expand_Grammar,200,"Number of samples in transaction : 1, number of failing samples : 0",SC06 & SC07 - Teacher Dills Down to Students Grade Book and Diagnostics 4-1,,true,,1509,1,1,0,1,0
1374487240861,603,SC06_08_nMEL_Logout,200,"Number of samples in transaction : 5, number of failing samples : 0",SC06 & SC07 - Teacher Dills Down to Students Grade Book and Diagnostics 4-1,,true,,8564,1,1,0,1,0
1374487241485,447,SC07_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0",SC06 & SC07 - Teacher Dills Down to Students Grade Book and Diagnostics 4-1,,true,,12558,1,1,0,1,0
1374487241947,5146,SC07_02_nMEL_Login,200,"Number of samples in transaction : 5, number of failing samples : 0",SC06 & SC07 - Teacher Dills Down to Students Grade Book and Diagnostics 4-1,,true,,71940,1,1,0,1,0
1374487247134,4078,SC07_03_Click_Gradebook,200,"Number of samples in transaction : 4, number of failing samples : 0",SC06 & SC07 - Teacher Dills Down to Students Grade Book and Diagnostics 4-1,,true,,34942,1,1,0,1,0
1374487251236,823,SC07_04_Click_Diagnostics_TimeStudent,200,"Number of samples in transaction : 1, number of failing samples : 0",SC06 & SC07 - Teacher Dills Down to Students Grade Book and Diagnostics 4-1,,true,,634,1,1,0,1,0
1374487271850,788,SC07_05_Click_StudentName,200,"Number of samples in transaction : 1, number of failing samples : 0",SC06 & SC07 - Teacher Dills Down to Students Grade Book and Diagnostics 4-1,,true,,5961,1,1,0,1,0
1374487292591,487,SC07_06_Click_Speaking,200,"Number of samples in transaction : 1, number of failing samples : 0",SC06 & SC07 - Teacher Dills Down to Students Grade Book and Diagnostics 4-1,,true,,6136,1,1,0,1,0
1374487293082,582,SC07_07_Click_FoundationClass,200,"Number of samples in transaction : 1, number of failing samples : 0",SC06 & SC07 - Teacher Dills Down to Students Grade Book and Diagnostics 4-1,,true,,6187,1,1,0,1,0
1374487303701,438,SC07_08_Click_Grammar,200,"Number of samples in transaction : 1, number of failing samples : 0",SC06 & SC07 - Teacher Dills Down to Students Grade Book and Diagnostics 4-1,,true,,563,1,1,0,1,0
1374487304144,759,SC07_09_nMEL_Logout,200,"Number of samples in transaction : 5, number of failing samples : 0",SC06 & SC07 - Teacher Dills Down to Students Grade Book and Diagnostics 4-1,,true,,8562,1,1,0,1,0
1374487304943,484,SC08_01_nMEL_HomePage,200,"Number of samples in transaction : 4, number of failing samples : 0",SC08 - Teacher Accepts Common Error 5-1,,true,,10841,1,1,0,1,0
1374487305451,6060,SC08_02_nMEL_Login,200,"Number of samples in transaction : 5, number of failing samples : 0",SC08 - Teacher Accepts Common Error 5-1,,true,,64008,1,1,0,1,0
1374487311550,3218,SC08_03_Click_GradeBook,200,"Number of samples in transaction : 4, number of failing samples : 0",SC08 - Teacher Accepts Common Error 5-1,,true,,22341,1,1,0,1,0
1374487314785,1098,SC08_04_Expand_Speaking,200,"Number of samples in transaction : 1, number of failing samples : 0",SC08 - Teacher Accepts Common Error 5-1,,true,,2403,1,1,0,1,0
1374487315888,1022,SC08_05_Expand_FC3,200,"Number of samples in transaction : 1, number of failing samples : 0",SC08 - Teacher Accepts Common Error 5-1,,true,,2402,1,1,0,1,0
1374487316915,1080,SC08_06_Expand_Grammar,200,"Number of samples in transaction : 1, number of failing samples : 0",SC08 - Teacher Accepts Common Error 5-1,,true,,2403,1,1,0,1,0
1374487318000,1019,SC08_07_Click_Activity_4,200,"Number of samples in transaction : 1, number of failing samples : 0",SC08 - Teacher Accepts Common Error 5-1,,true,,6919,1,1,0,1,0
1374487319023,2156,SC08_08_Click_CommonErrorReport,200,"Number of samples in transaction : 2, number of failing samples : 0",SC08 - Teacher Accepts Common Error 5-1,,true,,9747,1,1,0,1,0
1374487351035,7904,SC08_09_Click_Accept,200,"Number of samples in transaction : 2, number of failing samples : 0",SC08 - Teacher Accepts Common Error 5-1,,true,,14077,1,1,0,1,0
1374487370111,602,SC08_10_nMEL_Logout,200,"Number of samples in transaction : 5, number of failing samples : 0",SC08 - Teacher Accepts Common Error 5-1,,true,,8492,1,1,0,1,0
