sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
SC00_Click_HaveNotGotAccount,35,3816,3680,5892,1416,7720,0.0,0.31782354436816684,192.19501815850768
SC00_FillForm_ClickRegister,35,9731,9190,14252,4130,16814,0.0,0.2912201291353258,2.9006223660179393
SC00_Home_Page,35,7205,7469,9410,3277,14244,0.0,0.28622832842656204,156.8054538635713
SC00_Login,35,22276,22677,27038,14317,28992,0.0,0.2595418715193581,2880.319094854675
SC00_Logout,35,5416,5274,7890,1597,10465,0.0,0.291729874806208,2.8909502657867536
SC02_Home_Page,35,8652,8686,13680,2601,18402,0.0,0.3020157393345299,583.1981734249879
SC02_Login,35,28345,31240,38837,11506,45868,0.0,0.23230345468423325,2578.041483537567
SC02_Open_Book,35,11752,12302,17090,4183,19710,0.0,0.23509339924904452,243.211376358504
SC02_NextPage_ClickRightArrow_1,35,4632,4773,6503,1196,10249,0.0,0.23822002001048168,222.2813791599171
SC02_NextPage_ClickRightArrow_2,35,4519,4480,7503,1036,8223,0.0,0.23302108507932703,159.71524589341948
SC02_Select_A_Page_From_List,35,4624,4424,7059,1091,8340,0.0,0.23108869183992817,211.61856686221174
SC02_Select_Page_by_PageNumber,35,3866,3894,6384,1204,7244,0.0,0.22850576813846143,188.77410455322223
SC02_Close_Book,35,5178,4647,8898,1540,10854,0.0,0.2241118766488231,2.087685922812668
SC02_Logout,35,6571,5345,10931,1571,15898,0.0,0.22862517881755057,2.265634696157137
SC09_Home_Page,32,10198,7713,18521,2608,42874,0.0,0.23975964095993765,462.9807397381
SC09_Login,18,23278,21405,39129,11171,43179,0.0,0.18608113137327875,2065.0888113389315
SC09_Open_Book,15,11561,10232,18778,3192,22190,0.0,0.1605497222489805,159.61481278564472
SC09_GoTo_Page_35_36,15,14078,5735,10325,1428,131810,0.06666666666666667,0.06767761991346288,50.84489604294596
SC09_Open_Document,14,90653,12464,261358,4515,695828,0.07142857142857142,0.0178369397926838,6.141217560658336
SC09_Open_Audio,8,45383,36363,75731,16047,97380,0.0,0.05509224507785223,0.8067463036546817
SC09_GoTo_Page_31_32,5,33875,5475,8546,4591,145308,0.0,0.02535754133279237,21.880289424637386
SC09_Open_A_Presentation,4,38703,20026,71456,13309,71456,0.0,0.03477353733808572,0.31564456011475267
TOTAL,601,12507,6529,23497,1036,695828,0.0033277870216306157,0.5088886160515832,1132.0680962665272
