dateoftest,elapsed,label
[26/Jul/2013:14:06:45,179184,/,302
[26/Jul/2013:14:06:45,149838,/rumba/login,302
[26/Jul/2013:14:06:45,153975,/rumba/login,302
[26/Jul/2013:14:06:46,160129,/rumba/login,302
[26/Jul/2013:14:06:47,167740,/,302
[26/Jul/2013:14:06:47,935123,/rumba/login?ticket=ST-3602-9MRe0ZKdyd54sAK9Qj55-pearson-intl.com,302
[26/Jul/2013:14:06:47,1156884,/rumba/login?ticket=ST-3603-uSl01Ug1Kg30AgDhQ3Mo-pearson-intl.com,302
[26/Jul/2013:14:06:48,1309863,/rumba/login?ticket=ST-3604-Fc3MJCWEaeEB77ndNjpl-pearson-intl.com,302
[26/Jul/2013:14:06:48,1477960,/,302
[26/Jul/2013:14:06:48,1303398,/,302
[26/Jul/2013:14:06:48,1311850,/,302
[26/Jul/2013:14:06:49,1061899,/settings/,200
[26/Jul/2013:14:06:49,1429591,/,302
[26/Jul/2013:14:06:50,1278300,/,302
[26/Jul/2013:14:06:51,442059,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:06:50,1349312,/,302
[26/Jul/2013:14:06:50,957716,/settings/,200
[26/Jul/2013:14:06:51,431900,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:06:51,966503,/settings/,200
[26/Jul/2013:14:06:52,586447,/settings/,200
[26/Jul/2013:14:06:51,958438,/,302
[26/Jul/2013:14:06:52,233399,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:06:52,589970,/settings/,200
[26/Jul/2013:14:06:53,549016,/settings/,200
[26/Jul/2013:14:06:53,583479,/settings/,200
[26/Jul/2013:14:06:53,338919,/settings/personal/password?_=1373891277540,200
[26/Jul/2013:14:06:53,1490161,/settings/personal/profile?_=1373891275490,200
[26/Jul/2013:14:06:54,679498,/settings/,200
[26/Jul/2013:14:06:54,789613,/settings/,200
[26/Jul/2013:14:06:54,446982,/settings/get_time_zone_for_selected_country,200
[26/Jul/2013:14:06:55,360111,/settings/personal/password?_=1373891277540,200
[26/Jul/2013:14:06:54,1558336,/settings/,200
[26/Jul/2013:14:06:55,396635,/courses/user_course/new?_=1373891275488,302
[26/Jul/2013:14:06:55,492929,/settings/,200
[26/Jul/2013:14:06:55,358364,/settings/get_time_zone_for_selected_country,200
[26/Jul/2013:14:06:56,364601,/settings/get_time_zone_for_selected_country,200
[26/Jul/2013:14:06:56,363444,/settings/personal/password?_=1373891277540,200
[26/Jul/2013:14:06:56,519816,/settings/,200
[26/Jul/2013:14:06:56,458044,/settings/,200
[26/Jul/2013:14:06:57,511487,/settings/,200
[26/Jul/2013:14:06:57,662152,/settings/,200
[26/Jul/2013:14:06:57,600419,/settings/,200
[26/Jul/2013:14:06:58,208449,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:06:57,1268721,/settings/personal/update,302
[26/Jul/2013:14:06:58,546560,/settings/,200
[26/Jul/2013:14:06:58,1251985,/settings/personal/profile?_=1373893261770,200
[26/Jul/2013:14:06:58,336171,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:06:59,465454,/courses/user_course/new?_=1373893261769,200
[26/Jul/2013:14:06:58,768171,/settings/,200
[26/Jul/2013:14:06:59,376622,/courses/user_course/new?_=1373893261769,200
[26/Jul/2013:14:06:59,526931,/settings/,200
[26/Jul/2013:14:07:00,224164,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:07:00,321237,/courses/user_course/new?_=1373893261769,200
[26/Jul/2013:14:07:00,327562,/settings/personal/password?_=1373893263596,200
[26/Jul/2013:14:07:01,325016,/settings/personal/password?_=1373893263596,200
[26/Jul/2013:14:07:34,503399,/settings/,200
[26/Jul/2013:14:07:35,354713,/settings,301
[26/Jul/2013:14:07:35,202001,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:07:36,319029,/courses/user_course/new?_=1374847654256,200
[26/Jul/2013:14:07:36,659254,/settings/,200
[26/Jul/2013:14:07:37,223884,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:07:36,818105,/settings/course/new,200
[26/Jul/2013:14:07:37,1376,/css/10f8bdb.css,200
[26/Jul/2013:14:07:36,672752,/settings/,200
[26/Jul/2013:14:07:37,153406,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:07:37,312077,/settings,301
[26/Jul/2013:14:07:37,351351,/courses/user_course/new?_=1374847655780,200
[26/Jul/2013:14:07:37,369358,/settings/,200
[26/Jul/2013:14:07:38,1792,/css/10f8bdb.css,200
[26/Jul/2013:14:07:38,1754,/css/10f8bdb.css,200
[26/Jul/2013:14:07:38,578567,/settings/course/new,200
[26/Jul/2013:14:07:38,163000,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:07:38,202930,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:07:39,606745,/settings/course/new,200
[26/Jul/2013:14:07:39,164190,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:07:46,677922,/settings/course/summary,200
[26/Jul/2013:14:07:46,363054,/settings/course/summary,302
[26/Jul/2013:14:07:45,1489098,/settings/course/new/type/1,302
[26/Jul/2013:14:07:47,628221,/courses/,200
[26/Jul/2013:14:07:47,348252,/settings/course/summary,302
[26/Jul/2013:14:07:47,554026,/settings/course/summary,200
[26/Jul/2013:14:07:48,305643,/settings/course/summary,302
[26/Jul/2013:14:07:47,491888,/courses/,200
[26/Jul/2013:14:07:48,485108,/courses/,200
[26/Jul/2013:14:07:49,684247,/courses/,200
[26/Jul/2013:14:07:48,6159803,/settings/course/116/summary.pdf,200
[26/Jul/2013:14:07:48,6001678,/settings/course/116/summary.pdf,200
[26/Jul/2013:14:08:03,365069,/logout_user,302
[26/Jul/2013:14:08:03,159235,/rumba/login,405
[26/Jul/2013:14:08:03,157650,/,302
[26/Jul/2013:14:08:04,225943,/logout,302
[26/Jul/2013:14:08:04,153997,/,302
[26/Jul/2013:14:08:04,154704,/rumba/login,302
[26/Jul/2013:14:08:04,313838,/logout_user,302
[26/Jul/2013:14:08:05,283106,/logout,302
[26/Jul/2013:14:08:05,308664,/rumba/login,405
[26/Jul/2013:14:08:05,496262,/logout_user,302
[26/Jul/2013:14:08:05,627460,/rumba/login,302
[26/Jul/2013:14:08:06,244601,/,302
[26/Jul/2013:14:08:05,1381339,/,200
[26/Jul/2013:14:08:06,302448,/rumba/login,302
[26/Jul/2013:14:08:05,1294424,/,200
[26/Jul/2013:14:08:06,1175180,/rumba/login?ticket=ST-3607-HrLlQnULlQgYurIASvuw-pearson-intl.com,302
[26/Jul/2013:14:08:07,918232,/rumba/login?ticket=ST-3609-FLh34Ehwl77y0yV1VFFh-pearson-intl.com,302
[26/Jul/2013:14:08:07,840667,/,200
[26/Jul/2013:14:08:07,782092,/settings/,200
[26/Jul/2013:14:08:08,248204,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:08:08,997625,/,200
[26/Jul/2013:14:08:08,971417,/,200
[26/Jul/2013:14:08:09,405053,/settings/,200
[26/Jul/2013:14:08:09,420976,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:08:08,1305114,/settings/personal/profile?_=1373891275490,200
[26/Jul/2013:14:08:09,553607,/courses/user_course/new?_=1373891275488,200
[26/Jul/2013:14:08:09,282745,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:08:09,330539,/courses/user_course/new?_=1373891275488,200
[26/Jul/2013:14:08:10,253532,/settings/personal/password?_=1373891277540,200
[26/Jul/2013:14:08:10,306682,/settings/personal/password?_=1373891277540,200
[26/Jul/2013:14:08:10,364627,/settings/,200
[26/Jul/2013:14:08:11,255977,/courses/user_course/new?_=1373891275488,200
[26/Jul/2013:14:08:11,478598,/settings/,200
[26/Jul/2013:14:08:11,264461,/settings/personal/password?_=1373891277540,200
[26/Jul/2013:14:08:11,144484,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:08:11,251364,/settings/personal/password?_=1373891277540,200
[26/Jul/2013:14:08:11,321929,/courses/user_course/new?_=1374847689755,200
[26/Jul/2013:14:08:11,241281,/courses/user_course/new?_=1374847689891,200
[26/Jul/2013:14:08:12,405472,/settings/,200
[26/Jul/2013:14:08:12,162351,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:08:11,704232,/settings/course/388,200
[26/Jul/2013:14:08:12,311141,/courses/user_course/new?_=1374847690791,200
[26/Jul/2013:14:08:12,296589,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:08:12,840781,/settings/,200
[26/Jul/2013:14:08:13,245326,/courses/user_course/new?_=1374847691462,200
[26/Jul/2013:14:08:12,905156,/settings/course/389,200
[26/Jul/2013:14:08:13,215848,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:08:13,1127383,/courses/387/create_student,200
[26/Jul/2013:14:08:13,616244,/batches/batch?course=388,200
[26/Jul/2013:14:08:14,175205,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:08:13,886919,/settings/course/391,200
[26/Jul/2013:14:08:14,154045,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:08:14,150644,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:08:15,349702,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:08:14,1090642,/courses/391/create_student,200
[26/Jul/2013:14:08:15,210198,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:08:15,1095166,/resource/upload/8,302
[26/Jul/2013:14:08:14,2148895,/resource/upload/8,302
[26/Jul/2013:14:08:16,278597,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:08:14,2053683,/resource/upload/8,302
[26/Jul/2013:14:08:16,419178,/batches/batch?course=390,200
[26/Jul/2013:14:08:16,685553,/batches/batch?course=387,200
[26/Jul/2013:14:08:17,586490,/batches/batch?course=388,200
[26/Jul/2013:14:08:17,405921,/batches/historyStatus?course=389&offset=0&limit=20&_=1374847695483,200
[26/Jul/2013:14:08:16,1144188,/resource/upload/8,302
[26/Jul/2013:14:08:17,299295,/batches/historyStatus?course=390&offset=0&limit=20&_=1374847695801,200
[26/Jul/2013:14:08:17,381619,/batches/historyStatus?course=389&offset=0&limit=20&_=1374847695900,200
[26/Jul/2013:14:08:18,341022,/batches/historyStatus?course=387&offset=0&limit=20&_=1374847696170,200
[26/Jul/2013:14:08:18,425739,/batches/batch.json?course=390&offset=0&limit=20&_=1374847696118,200
[26/Jul/2013:14:08:18,185767,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:08:18,468250,/batches/batch?course=391,200
[26/Jul/2013:14:08:18,326445,/batches/historyStatus?course=387&offset=0&limit=20&_=1374847696524,200
[26/Jul/2013:14:08:18,162499,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:08:19,166436,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:08:19,319719,/batches/batch.json?course=391&offset=0&limit=20&_=1374847697456,200
