sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T01_HOME,1,1928,1928,1928,1928,1928,0.0,0.5186721991701245,12.321503825207468
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T02_ACCESSCODE-NEXT,1,994,994,994,994,994,0.0,1.006036217303823,19.526337713782695
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T03_CREATE,1,275,275,275,275,275,0.0,3.6363636363636362,273.30965909090907
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T04_LICENSEAGREE-NEXT,1,105,105,105,105,105,0.0,9.523809523809526,145.40550595238096
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T05_INSTRINFO-NEXTT,1,417,417,417,417,417,0.0,2.398081534772182,2.1147144784172665
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T06_OK,1,2082,2082,2082,2082,2082,0.0,0.4803073967339097,9.204640970220941
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T07_FINISH,1,2395,2395,2395,2395,2395,0.0,0.41753653444676414,8.64879632045929
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T08_LOGOUT,1,681,681,681,681,681,0.0,1.4684287812041115,7.269009269456681
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T09_LOGINASINSTRUCTOR,1,4324,4324,4324,4324,4324,0.0,0.23126734505087881,9.187456637372803
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T09_1_SELECT_LANGUAGE,1,620,620,620,620,620,0.0,1.6129032258064515,4.876512096774194
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T10_CLICKCREATECLASS,1,22,22,22,22,22,0.0,45.45454545454545,159.4904119318182
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T10_SEARCH_ISBN,1,11,11,11,11,11,0.0,90.9090909090909,246.8927556818182
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T11_SELECTCOURSEMATERIAL,1,14,14,14,14,14,0.0,71.42857142857143,181.84988839285714
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T12_CREATECLASS,1,154,154,154,154,154,0.0,6.493506493506494,17.30544845779221
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T13_GOTOMYWORKSPACE,1,1311,1311,1311,1311,1311,0.0,0.7627765064836003,38.498611508390546
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T14_MYCLASSES,1,10775,10775,10775,10775,10775,0.0,0.09280742459396753,45.762670388631086
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T15_CLASSID,1,1120,1120,1120,1120,1120,0.0,0.8928571428571428,50.49351283482142
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T16_ASSIGNMENTS,1,372,372,372,372,372,0.0,2.688172043010753,58.17634828629032
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T17_ASSIGNMENTCLINK,1,356,356,356,356,356,0.0,2.8089887640449436,85.56991748595506
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T18_POST,1,631,631,631,631,631,0.0,1.5847860538827259,10.952666897781299
S01_INSTRUCTORREGISTRATIONCLASSCREATION_T19_LOGOUT,1,1314,1314,1314,1314,1314,0.0,0.76103500761035,7.335366723744292
S02_STUDENTREGISTRATIONANDTAKESTEST_T01_HOME,1,732,732,732,732,732,0.0,1.366120218579235,30.99251835724044
S02_STUDENTREGISTRATIONANDTAKESTEST_T02_ACCESSCODE-NEXT,1,1283,1283,1283,1283,1283,0.0,0.779423226812159,15.126443150818396
S02_STUDENTREGISTRATIONANDTAKESTEST_T03_CREATE,1,555,555,555,555,555,0.0,1.8018018018018018,135.69291948198196
S02_STUDENTREGISTRATIONANDTAKESTEST_T04_LICENCEAGREE-NEXT,1,373,373,373,373,373,0.0,2.680965147453083,41.33241873324397
S02_STUDENTREGISTRATIONANDTAKESTEST_T05_STUDENTDATA-NEXT,1,483,483,483,483,483,0.0,2.070393374741201,1.8257472826086958
S02_STUDENTREGISTRATIONANDTAKESTEST_T06_OK,1,2580,2580,2580,2580,2580,0.0,0.3875968992248062,9.10663456879845
S02_STUDENTREGISTRATIONANDTAKESTEST_T07_FINISH,1,2554,2554,2554,2554,2554,0.0,0.39154267815191857,8.171541576938138
S02_STUDENTREGISTRATION_T08_LOGOUT,1,711,711,711,711,711,0.0,1.4064697609001406,6.962300017580873
S02_STUDENTCLASSJOIN_T09_LOGINASSTUDENT,1,6624,6624,6624,6624,6624,0.0,0.15096618357487923,6.63455096995773
S02_STUDENTREGISTRATIONANDTAKESTEST_T09_1_SELECT_CLASS,1,10,10,10,10,10,0.0,100.0,220.5078125
S02_STUDENTREGISTRATIONANDTAKESTEST_T10_JOINYOURINSTRUCTORÕSCLASS,1,12,12,12,12,12,0.0,83.33333333333333,188.720703125
S02_STUDENTREGISTRATIONANDTAKESTEST_T11_CONTINUE,1,18618,18618,18618,18618,18618,0.0,0.053711462025996345,0.4104940447416479
S02_STUDENTREGISTRATIONANDTAKESTEST_T12_JOIN,1,5813,5813,5813,5813,5813,0.0,0.1720282126268708,7.643663717099605
S02_STUDENTREGISTRATIONANDTAKESTEST_T13_ASSIGNMENTS,1,351,351,351,351,351,0.0,2.849002849002849,71.4977297008547
S02_STUDENTREGISTRATIONANDTAKESTEST_T14_ASSIGNMENTLINK,1,540,540,540,540,540,0.0,1.8518518518518519,48.2421875
S02_STUDENTREGISTRATIONANDTAKESTEST_T15_SUBMIT,1,699,699,699,699,699,0.0,1.4306151645207439,11.2297702074392
S02_STUDENTREGISTRATIONANDTAKESTEST_T16_BACKLIST,1,487,487,487,487,487,0.0,2.053388090349076,36.387480749486656
S02_STUDENTREGISTRATIONANDTAKESTEST_T17_LOGOUT,1,773,773,773,773,773,0.0,1.29366106080207,17.852269970892625
S03_INSTRUCTORREGISTRATIONCLASSCREATION_T01_LOGINASINSTRUCTOR,1,3261,3261,3261,3261,3261,0.0,0.30665440049064707,20.402699517019318
S03_INSTRUCTORGRADESSTUDENTGOESTOGRADEBOOK_T02_CLASS,1,1179,1179,1179,1179,1179,0.0,0.8481764206955047,51.76443887828668
S03_INSTRUCTORGRADESSTUDENTGOESTOGRADEBOOK_T03_ASSIGNMENTS,1,293,293,293,293,293,0.0,3.4129692832764507,87.63065273037543
S03_INSTRUCTORGRADESSTUDENTGOESTOGRADEBOOK_T04_ASSIGNMENTLINK,10,571,460,658,422,1336,0.0,0.06373851909924724,1.1582297283623664
S03_INSTRUCTORGRADESSTUDENTGOESTOGRADEBOOK_T05_STUDENTLINK,10,521,513,615,397,629,0.0,0.06326671348403465,2.650862938201074
S03_INSTRUCTORGRADESSTUDENTGOESTOGRADEBOOK_T06_SAVEANDRELEASETOSTUDENT,10,536,483,703,455,776,0.0,0.06190723819428968,0.8945112268776465
S03_INSTRUCTORGRADESSTUDENTGOESTOGRADEBOOK_T07_GRADEBOOK,1,2631,2631,2631,2631,2631,0.0,0.38008361839604715,102.88611150703156
S03_INSTRUCTORGRADESSTUDENTGOESTOGRADEBOOK_T08_LOGOUT,1,909,909,909,909,909,0.0,1.1001100110011,15.181303286578657
S04_STUDENTREGISTRATIONJOINSELFSTUDYCOURSE_T01_HOME,1,1213,1213,1213,1213,1213,0.0,0.8244023083264633,19.631079967023908
S04_STUDENTREGISTRATIONJOINSELFSTUDYCOURSE_T02_ACCESSCODE-NEXT,1,531,531,531,531,531,0.0,1.8832391713747645,36.55212747175141
S04_STUDENTREGISTRATIONJOINSELFSTUDYCOURSE_T03_CREATE,1,289,289,289,289,289,0.0,3.4602076124567476,260.0697448096886
S04_STUDENTREGISTRATIONJOINSELFSTUDYCOURSE_T04_LICENSEAGREE-NEXT,1,196,196,196,196,196,0.0,5.1020408163265305,77.89580676020408
S04_STUDENTREGISTRATIONJOINSELFSTUDYCOURSE_T05_STUDENTINFO-NEXT,1,268,268,268,268,268,0.0,3.7313432835820897,3.29043260261194
S04_STUDENTREGISTRATIONJOINSELFSTUDYCOURSE_T06_OK,1,2082,2082,2082,2082,2082,0.0,0.4803073967339097,9.004825588376562
S04_STUDENTREGISTRATIONJOINSELFSTUDYCOURSE_T07_FINISH,1,2444,2444,2444,2444,2444,0.0,0.4091653027823241,8.462609323854338
S04_STUDENTREGISTRATION_T08_LOGOUT,1,1114,1114,1114,1114,1114,0.0,0.8976660682226212,4.443622363105924
S04_STUDENTCLASSJOIN_T09_LOGINASSTUDENT,1,5746,5746,5746,5746,5746,0.0,0.1740341106856944,7.2428102158022964
S04_STUDENTREGISTRATIONJOINSELFSTUDYCOURSE_T10_STUDYONYOUROWN,1,224,224,224,224,224,0.0,4.464285714285714,11.008126395089285
S04_STUDENTREGISTRATIONJOINSELFSTUDYCOURSE_T11_JOIN,1,1235,1235,1235,1235,1235,0.0,0.8097165991902834,20.782989625506072
S04_STUDENTREGISTRATIONJOINSELFSTUDYCOURSE_T12_LOGOUT,1,894,894,894,894,894,0.0,1.1185682326621924,15.628277055369127
TOTAL,86,1324,531,2554,10,18618,0.0,0.13214931643461145,4.182461939364208
