timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount
1375611106024,1,Teacher Registration - Thread - 1,200,OK,"1) SC01, SC02, SC03 and SC04 1-1",text,true,,1463,1,1,0,1,0
1375611106040,1097,SC01_01_RUMBA_Home_Teacher,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,8285,1,1,0,1,0
1375611107416,3017,SC01_TT_3000,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,1453,1,1,0,1,0
1375611110435,1010,SC01_02_EnterAccessCode_ClickNext,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,11120,1,1,0,1,0
1375611111455,567,SC01_03_Click_Next,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,9703,1,1,0,1,0
1375611112035,279,SC01_04_Click_Create,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,75948,1,1,0,1,0
1375611112323,20099,SC01_TT_20000,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,1536,1,1,0,1,0
1375611132423,190,SC01_05_CheckAgreement_ClickNext,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,15426,1,1,0,1,0
1375611132619,1986,SC01_06_Fill_Info_ClickNext,200,"Number of samples in transaction : 4, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,27959,1,1,0,1,0
1375611134629,17450,SC01_TT_17500,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,2187,1,1,0,1,0
1375611152081,2277,SC01_07_Click_Finish,200,"Number of samples in transaction : 3, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,23171,1,1,0,1,0
1375611154381,15045,XX_Click_GoTo_Product,200,"Number of samples in transaction : 4, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,152225,1,1,0,1,0
1375611169577,5499,SC01_TT_5500,200,"Number of samples in transaction : 1, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,2730,1,1,0,1,0
1375611175077,17603,SC01_09_Enter_CountryLanguageTZone_ClickSave,200,"Number of samples in transaction : 7, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,21178,1,1,0,1,0
1375611192740,641,SC01_10_Signout_Teacher,200,"Number of samples in transaction : 2, number of failing samples : 0","1) SC01, SC02, SC03 and SC04 1-1",,true,,9420,1,1,0,1,0
