timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,IdleTime
1380795863631,1461,SC03_Home_Page,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group - Sign IN Sign OUT 1-1,,true,16111,1,1,0,1,0,248
1380795869703,1013,SC03_Sign_IN,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - Sign IN Sign OUT 1-1,,true,6518,2,2,0,1,0,1
1380795868655,2210,SC03_Home_Page,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group - Sign IN Sign OUT 1-2,,true,16114,2,2,0,1,0,19
1380795873675,2039,SC03_Home_Page,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group - Sign IN Sign OUT 1-3,,true,16113,3,3,0,1,0,14
1380795875337,1361,SC03_Sign_OUT,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group - Sign IN Sign OUT 1-1,,true,16241,3,3,0,1,0,17
1380795875662,1862,SC03_Sign_IN,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - Sign IN Sign OUT 1-2,,true,6508,3,3,0,1,0,1
1380795878691,1015,SC03_Home_Page,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group - Sign IN Sign OUT 1-4,,true,16111,4,4,0,1,0,10
1380795878840,1355,SC03_Sign_IN,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - Sign IN Sign OUT 1-3,,true,6508,4,4,0,1,0,1
1380795879236,1980,SC03_Sign_OUT,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group - Sign IN Sign OUT 1-2,,true,16242,4,4,0,1,0,10
1380795881201,780,SC03_Home_Page,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group - Sign IN Sign OUT 1-1,,true,13970,4,4,0,1,0,8
1380795882082,1197,SC03_Sign_IN,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - Sign IN Sign OUT 1-4,,true,6518,4,4,0,1,0,0
1380795882452,1867,SC03_Sign_OUT,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group - Sign IN Sign OUT 1-3,,true,16242,5,5,0,1,0,10
1380795884811,1347,SC03_Sign_IN,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - Sign IN Sign OUT 1-1,,true,6482,5,5,0,1,0,1
1380795883683,2579,SC03_Home_Page,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group - Sign IN Sign OUT 1-5,,true,16118,5,5,0,1,0,16
1380795885266,1964,SC03_Home_Page,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group - Sign IN Sign OUT 1-2,,true,14034,5,5,0,1,0,7
1380795887193,1906,SC03_Home_Page,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group - Sign IN Sign OUT 1-3,,true,14032,6,6,0,1,0,5
1380795888155,1306,SC03_Sign_OUT,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group - Sign IN Sign OUT 1-4,,true,16241,6,6,0,1,0,11
1380795888693,2405,SC03_Home_Page,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group - Sign IN Sign OUT 1-6,,true,16110,6,6,0,1,0,12
1380795890149,1356,SC03_Sign_OUT,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group - Sign IN Sign OUT 1-1,,true,10731,6,6,0,1,0,12
1380795890933,922,SC03_Home_Page,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group - Sign IN Sign OUT 1-4,,true,14029,6,6,0,1,0,6
