timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount
1378630671739,4647,01_Home_Page,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group - Pay Monthly 1-1,,true,355440,1,1,0,1,0
1378630676431,1392,02_Click_Login,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group - Pay Monthly 1-1,,true,86928,1,1,0,1,0
1378630677830,41011,03_Login_NOW,200,"Number of samples in transaction : 9, number of failing samples : 0",Thread Group - Pay Monthly 1-1,,true,464229,1,1,0,1,0
1378630718859,5951,04_Click_Manage_My_Settings,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - Pay Monthly 1-1,,true,63884,1,1,0,1,0
1378630724815,10622,05_Click_My_Account,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group - Pay Monthly 1-1,,true,109680,1,1,0,1,0
1378630735451,3953,06_Click_Manage_My_Details,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - Pay Monthly 1-1,,true,50112,1,1,0,1,0
1378630739411,8430,04_Click_Manage_My_Settings,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - Pay Monthly 1-1,,true,63884,1,1,0,1,0
1378630747845,9614,05_Click_My_Account,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group - Pay Monthly 1-1,,true,109680,1,1,0,1,0
1378630757467,3060,06_Click_Manage_My_Details,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - Pay Monthly 1-1,,true,50112,1,1,0,1,0
1378630761056,5898,04_Click_Manage_My_Settings,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - Pay Monthly 1-1,,true,63884,1,1,0,1,0
1378630767346,10694,05_Click_My_Account,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group - Pay Monthly 1-1,,true,109680,1,1,0,1,0
1378630778048,2806,06_Click_Manage_My_Details,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group - Pay Monthly 1-1,,true,50112,1,1,0,1,0
1378630780898,1741,07_Click_Logout,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group - Pay Monthly 1-1,,true,45311,1,1,0,1,0
